name,abv,desc,style_name
Born Again Yesterday,7.5,"We’ve discovered that the Lagunitas brewers are part time alchemists... they’ve figured out how to keep wet hops wet all freakin’ year long! The next beer in our 2016 #OneHitter Series is this Born Again Yesterday Pale Ale, which features a delicious concoction of wet hops, reborn and unfiltered into our Born Yesterday Pale Ale. Congrats... It’s a beer again!",Wet Hop Ale
Bottle Rocket IPA,6.5,"An explosion of hops dominate this deep golden ale. Brewed with four varieties of hops & dry hopped with three other hops, the flavor is powerful. Not a harsh bitterness, but a full hop flavor.",American IPA
Bourbon Barrel Aged Imperial Stout,11.2,"This is the second edition from the brewery’s Cork & Cage series, a high-gravity, small-batch line-up that explores the edges of classic beer styles including barrel-aged beers, sours and wild ales. Bourbon Barrel Aged Imperial Stout is a supremely rich, full-bodied imperial stout laced with subtle notes of chocolate and bourbon, acquired while aging in bourbon barrels. A big beer at 11.2%, this is the highest ABV creation SweetWater will release this year.",American Imperial Stout
Brandy Barrel-Aged Ten Fidy,10.5,"This is a collaboration between Appalachian Vintner and Oskar Blues Brevard. We brought them a fresh NC apple brandy barrel and they willingly filled with fresh Ten Fidy…Ten months ago! The resulting beer is absolutely tantalizing, world-class stuff.",American Imperial Stout
Brass & Blues,6.4,Collaboration with The Brass Tap.,Saison
Braupakt,6.0,"This naturally cloudy amber Hefeweissbier has a firm, creamy head and reveals fragrances of peach, apricot and citrus on the nose. The initial impression on the palate is of a bouquet of aromas, including subtle touches of banana plus refreshing grapefruit from the American Chinook hops. The fruity peach and apricot notes from the Amarillo hops are balanced by the gentle sweetness of the caramel malt. The beer has a delicate tartness that melds into a harmonious mouthfeel on the finish.",Hefeweizen
Breakfast At Chicos,7.5,"Breakfast at Chico’s in a Imperial Nitro Milk Stout with Almonds, brewed using lactose to boost the sweetness as well as ground almonds for a nutty flavor- glimpses of milk chocolate and coffee also emerge for a decidedly robust, creamy brew for when the sun’s rising or making way for evening antics. Other ingredients include two row pale, Munich, Honey, Brown and Oat malts with experimental and mosaic hops.",Stout
Breckenridge Christmas Ale,7.4,"The chill of a Colorado high-country winter calls for a beer with extra flavor and warming characteristics. Here it is. Breck Brew's Christmas Ale. At over 7% alcohol, with a sturdy texture and rich flavors of caramel and chocolate, our holiday seasonal is the fermented equivalent of a good fire.

The ultimate winter warmer.

Yeast:Top Fermenting Ale Yeast
Malts:Two Row Pale, Caramel, Chocolate, Black
Hops:Chinook, Mt. Hood",American Strong Pale
Bretthead,6.1,"We brewed our popular Conehead IPA with a wild twist. Single-hopped with Citra and fermented with Brettanomyces wild yeast, this beer stands at the crossroads of hoppy and funky.",American IPA
Brewery Lane Series: Biére De Garde,9.0,"French farmhouse ale, caramel, toffee and bread-like malt aromas, complex fruity and dry.",Bière de Garde
Brown Shugga',9.9,"How Come you Taste So Good?? Boatloads of Pure Brown Sugar in Each Batch, That’s How! The Rich, Roasty and Mysteriously Drinkable Ale might best be described as... Irresponsible. It Leaves a Lot of Stories in it’s Wake.",American Strong Pale
Brown's Point ESB,5.6,"This E.S.B. is definately the house favorite. Exclusively hopped with Fuggles, this full bodied amber ale finishes smooth and clean. 5.6% ABV",ESB
Brux,8.3,"What began as mutual admiration between Sierra Nevada’s Grossman Family and Russian River’s Cilurzos has grown and progressed into genuine friendship. Brux began as an idea and has grown into something altogether different: 

The liquid manifestation of change over time. 

Refermented in the bottle with Brettanomyces bruxellensis, Brux will change and develop over time. Copper-colored, dry and complex, with slightly tart notes of green grass, pear, spice and lemon - this ale will progress in the bottle for many years.",Specialty
Bubbly Wit,7.1,"A swanky interpretation of a double strength wheat beer, fermented solely by champagne yeast. Notes of tart citrus and white grape soothe the pallet in this sparkling ale.",Belgian Blonde
Bud Dry,5.0,"Introduced in 1989 Bud Dry is the first dry-brewed beer produced by an American brewer. It is brewed with select hops, grains and barley malt, which results in a lighter body and less-sweet taste. As with all Anheuser-Busch beers, it is cold-filtered for a smooth draft taste, but then goes through a second cold-filtered finishing process to provide its unique taste.",American Light Lager
Bud Extra,6.6,Originally known as B-to-the-E,Spice Beer
Bud Ice,5.5,"Bud Ice uses Anheuser-Busch's exclusive ice-brewing process that takes the beer to a temperature below freezing, which leads to the formation of ice crystals in the finishing process that gives Bud Ice its rich, smooth taste. Bud Ice is America's first draft beer to be ice brewed.",American Premium Lager
Bud Ice Light,4.1,Introduced in 1994.,American Premium Lager
Bud Light,4.2,"Introduced nationally in 1982, Bud Light is brewed using a blend of domestic and imported hops as well as a combination of barley malts and rice.  It contains more malt and hops by ratio of ingredients than Budweiser, which gives the brew a distinctively clean and crisp taste.",American Light Lager
Bud Light Chelada,4.2,"Bud Light & Clamato Chelada, combines Bud Light with the refreshing taste of Clamato, spices and a hint of lime. To best enjoy Bud Light & Clamato Chelada, gently rotate the chilled can once before pouring. Then, serve cold, or pour over ice, into a traditional goblet-style glass and garnish with a slice of lime or celery stalk.",American Light Lager
Bud Light Lime,4.2,"Bud Light Lime, introduced in 2008, is a premium light lager that combines the superior drinkability of Bud Light with 100 percent natural lime flavor.",American Light Lager
Bud Light Lime Mang-O-Rita,8.0,"Bud Light Lime Mang-O-Rita combines two favorites: the delicious taste of a mango margarita and the refreshment of Bud Light Lime. Best-served over ice, Bud Light Lime Mang-O-Rita is perfect for any outdoor occasion.",Flavored Malt Beverage
Bud Light Platinum,6.0,"Bud Light Platinum has reinvented the category of light beer. Within each cobalt blue bottle lies a bold formula that's triple filtered with a smooth finish to create its top shelf taste. It's the first of its kind, and the only beer worthy of the name Bud Light Platinum.",American Light Lager
Bud Light Radler - Grapefuit,2.4,"A perfect mix of light beer and real fruit juice, this favourite combines citrus flavours and grapefruit aroma with a refreshing taste.",Fruit Beer
Budweiser,5.0,"Known as “The King of Beers”, Budweiser was first introduced by Adolphus Busch in 1876 and is brewed with the same high quality standards today. Budweiser is a medium-bodied, flavorful, crisp American-style lager, craft brewed with a blend of premium hop varieties, and associated with the core American values of celebration and optimism.",American Lager
Budweiser American Ale,5.1,"Budweiser American Ale is brewed with barley from America's heartland and dry hopped with Cascade hops from the Pacific Northwest.

Available Fall 2008.",Amber
Budweiser Chelada,5.0,"Budweiser & Clamato Chelada, combines Budweiser with the refreshing taste of Clamato, spices and a hint of lime. To best enjoy Budweiser & Clamato Chelada, gently rotate the chilled can once before pouring. Then, serve cold, or pour over ice, into a traditional goblet-style glass and garnish with a slice of lime or celery stalk.",American Lager
Budweiser Copper Lager,6.2,"This is a flavorful American Copper Lager brewed with two-row barley malt and aged on real Jim Beam bourbon barrel staves for a toasted oak aroma, a deliciously nutty taste with caramel rye and vanilla notes, and a smooth finish.

Budweiser Brewmasters and Jim Beam's Master Distillers have created this brew in honor of the 85th anniversary of the Repeal of Prohibition on December 5, 1933.",American Amber Lager
Budweiser Freedom Reserve,5.4,"The Freedom Reserve is a specialty red lager brewed with toasted barley grains for a slightly sweet aroma with a touch of hops, a rich caramel malt taste, and a smooth finish with a hint of molasses. Inspired by George Washington's recipe.",American Amber Lager
Budweiser Prohibition Brew,0.5,"When you need something done right, you have to do it yourself. Budweiser Prohibition Brew is a non-alcoholic beer that actually tastes like beer. All the crisp, clean taste you’ve come to expect from Budweiser. Brewed to the same standards you’ve come to expect from Budweiser.",Non-Alcoholic
Budweiser Select,4.3,Bud Select is a new beer offering a bold taste with a full and distinct flavor that finishes clean. Budweiser Select was developed using two-row and roasted specialty malts for a rich color. It offers excellent drinkability and a taste that does not linger.,American Light Lager
Buffalo Trace Aged Scotch Ale,11.1,"Sierra Nevada’s traditionally styled Scotch Ale is deep red in color, possessing a strong malt flavor with a very light hop character derived from the English hops used. Though medium bodied, this sweet ale is rather potent at 7.3% ABV. To add even more character to this beer, we aged it in bourbon barrels for eight months.",Scotch Ale
Busch,4.6,"Busch offers a refreshingly smooth taste. Since being introduced regionally in 1955, the Busch beer brand family has grown to become one of the top-selling value beer brand families. Busch also holds a noted place in Anheuser-Busch history as the first new brand after the repeal of Prohibition.",American Lager
Busch Ice,5.9,"Busch Ice has a rich, smooth taste with exceptional drinkability and a slightly sweet finish. Busch Ice undergoes Anheuser-Busch's exclusive ice-brewing process, which takes the beer to a temperature below freezing. This leads to the formation of ice crystals in the finishing process, which help create its rich, smooth taste.",American Ice Lager
